
> dev
> next dev

▲ Next.js 16.3.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.0.0.178:3000
- Environments: .env.local
✓ Ready in 291ms
✓ Running next.config.ts took 21ms
- Cache Components enabled

 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 785ms (next.js: 580ms, proxy.ts: 148ms, application-code: 57ms)
 GET /game/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 703ms (next.js: 272ms, proxy.ts: 6ms, generate-params: 244ms, application-code: 181ms)
 GET /game/6df80e66-04d8-4a36-879c-ebaa5c598f54?invite=MMG3CXPN 200 in 890ms (next.js: 462ms, proxy.ts: 4ms, generate-params: 243ms, application-code: 181ms)
 GET /game/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 926ms (next.js: 481ms, proxy.ts: 17ms, generate-params: 243ms, application-code: 186ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 40ms (next.js: 4ms, proxy.ts: 10ms, application-code: 26ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 20ms (next.js: 3ms, proxy.ts: 3ms, application-code: 14ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 19ms (next.js: 3ms, proxy.ts: 3ms, application-code: 13ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 19ms (next.js: 2ms, proxy.ts: 3ms, application-code: 14ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 20ms (next.js: 2ms, proxy.ts: 6ms, application-code: 12ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 20ms (next.js: 4ms, proxy.ts: 4ms, application-code: 13ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 18ms (next.js: 3ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 19ms (next.js: 2ms, proxy.ts: 4ms, application-code: 12ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 23ms (next.js: 5ms, proxy.ts: 5ms, application-code: 13ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 17ms (next.js: 2ms, proxy.ts: 3ms, application-code: 12ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 17ms (next.js: 2ms, proxy.ts: 3ms, application-code: 12ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 19ms (next.js: 4ms, proxy.ts: 3ms, application-code: 13ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 19ms (next.js: 3ms, proxy.ts: 5ms, application-code: 11ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 18ms (next.js: 4ms, proxy.ts: 3ms, application-code: 12ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 15ms (next.js: 2ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 17ms (next.js: 4ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 18ms (next.js: 2ms, proxy.ts: 5ms, application-code: 10ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 21ms (next.js: 5ms, proxy.ts: 4ms, application-code: 12ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 17ms (next.js: 3ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 17ms (next.js: 2ms, proxy.ts: 3ms, application-code: 12ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 20ms (next.js: 3ms, proxy.ts: 3ms, application-code: 14ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 19ms (next.js: 3ms, proxy.ts: 3ms, application-code: 13ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 18ms (next.js: 3ms, proxy.ts: 3ms, application-code: 12ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 19ms (next.js: 3ms, proxy.ts: 3ms, application-code: 13ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 19ms (next.js: 2ms, proxy.ts: 3ms, application-code: 13ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 18ms (next.js: 1.9ms, proxy.ts: 4ms, application-code: 13ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 18ms (next.js: 3ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 19ms (next.js: 3ms, proxy.ts: 4ms, application-code: 12ms)
